668 nm,688 nm,710 nm,chl-CP,Uncertainty in predicted chl
0.027874418604651164,0.027487179487179485,0.026470588235294117,0.022659718990325928,0.007940906683603921
0.029016279069767444,0.02848717948717949,0.0275,0.014560818672180176,0.004677284955978393
0.029,0.028387179487179486,0.0275,0.013821899890899658,0.006082760492960612
0.029116279069767444,0.028443589743589744,0.027567647058823527,0.02225470542907715,0.006121149063110352
0.028932558139534888,0.028343589743589744,0.0274,0.015600800514221191,0.006205943425496418
0.029258139534883727,0.028643589743589742,0.027667647058823533,0.016102910041809082,0.003961241245269774
0.028590697674418606,0.02818717948717948,0.027305882352941173,0.03080230951309204,0.008387261629104614
0.03205813953488372,0.031571794871794866,0.030567647058823526,0.035512566566467285,0.0070226812362670895
0.0242,0.023815384615384613,0.023202941176470586,0.024916887283325195,0.014604848623275756
0.0286,0.028115384615384608,0.027167647058823532,0.01740396022796631,0.004433584213256836
0.030458139534883726,0.02977179487179487,0.0289,0.027269423007965088,0.006560948292414347
0.020958139534883718,0.02057179487179487,0.0199,0.005428910255432129,0.00749448815981547
0.0211,0.02067179487179487,0.02,0.0040967464447021484,0.006984569629033407
0.0208,0.020371794871794868,0.01976764705882353,0.0031687021255493164,0.006104700962702433
0.02255813953488372,0.022071794871794868,0.021435294117647056,0.006838560104370117,0.0048813271522521965
0.021758139534883723,0.02127179487179487,0.0205,-0.0009265542030334473,0.0021053318182627356
0.021616279069767444,0.02127179487179487,0.0206,0.0034928321838378906,0.00675019105275472
0.024416279069767444,0.02401538461538461,0.023167647058823525,0.01029270887374878,0.004869134823481241
0.02315813953488372,0.0228,0.02213529411764706,0.006839156150817871,0.011969389518102008
0.02305813953488372,0.0225,0.021935294117647056,0.00827491283416748,0.005568929115931192
0.02315813953488372,0.022715384615384613,0.022002941176470583,0.010059475898742676,0.007271219889322916
0.023116279069767442,0.022643589743589744,0.021935294117647056,0.005248010158538818,0.008018733263015746
0.0232,0.022743589743589743,0.021967647058823533,0.0065819621086120605,0.004602599143981934
0.02365813953488372,0.023271794871794867,0.0225,0.01022636890411377,0.006967950264612833
0.023858139534883725,0.023443589743589743,0.0228,0.021862328052520752,0.01024827798207601
0.024658139534883727,0.02424358974358974,0.023570588235294114,0.020201385021209717,0.011071426073710124
0.0242,0.023815384615384613,0.022935294117647057,0.010371088981628418,0.0049068291982014975
0.027258139534883718,0.02681538461538461,0.02606764705882353,0.02331608533859253,0.01178833564122518
0.025516279069767445,0.024971794871794867,0.0243,0.01961606740951538,0.004883570671081542
0.025258139534883726,0.0247,0.024035294117647057,0.01812678575515747,0.004377168814341227
0.02904186046511628,0.028643589743589742,0.0276,0.025517284870147705,0.008540781736373902
0.029816279069767443,0.02931538461538461,0.028467647058823525,0.030666589736938477,0.008335911830266317
0.027558139534883726,0.02702820512820513,0.0263,0.025757133960723877,0.006686287323633828
0.02705813953488373,0.026571794871794868,0.025732352941176474,0.01993536949157715,0.007700937589009602
0.02945813953488372,0.028943589743589744,0.028067647058823527,0.026368379592895508,0.007939612865447997
0.029516279069767445,0.028971794871794868,0.02813235294117648,0.02654409408569336,0.007562272151311239
0.02595813953488372,0.0257,0.024735294117647057,-0.011079251766204834,0.013676585753758748
0.031874418604651164,0.03127179487179487,0.030267647058823524,0.02354341745376587,0.006268291076024372
0.023216279069767445,0.0228,0.022167647058823528,0.01579880714416504,0.00920876423517863
0.029074418604651164,0.028758974358974364,0.02767058823529412,-0.011837542057037354,0.01153082728385925
0.02627441860465117,0.02582820512820513,0.02496764705882353,0.011962950229644775,0.00625944972038269
0.02224186046511628,0.02187179487179487,0.021170588235294115,0.014632463455200195,0.006783168713251749
0.022658139534883718,0.022171794871794867,0.02153529411764706,0.007005810737609863,0.004853690862655639
0.021058139534883724,0.02067179487179487,0.019967647058823527,0.00558781623840332,0.006079631249109904
0.022758139534883724,0.02237179487179487,0.0218,0.01993870735168457,0.014419993162155151
0.0232,0.02277179487179487,0.022167647058823528,0.027270793914794922,0.010711977084477742
0.02305813953488372,0.022643589743589744,0.022,0.011733293533325195,0.008277859290440878
0.023258139534883718,0.0228,0.0221,0.009840130805969238,0.007732874552408853
0.023916279069767444,0.023443589743589743,0.022767647058823528,0.010645449161529541,0.007259251276652016
0.023958139534883724,0.023515384615384608,0.022835294117647058,0.01305466890335083,0.007579851150512695
0.023958139534883724,0.023515384615384608,0.022835294117647058,0.01305466890335083,0.007579851150512695
0.02945813953488372,0.0289,0.028102941176470584,0.024978697299957275,0.00805172284444173
0.028,0.02757179487179487,0.026902941176470584,0.038411617279052734,0.011446546316146848
0.02425813953488372,0.023743589743589744,0.022902941176470584,0.0034359097480773926,0.0026329219341278075
0.024358139534883718,0.023771794871794868,0.022967647058823527,0.009979069232940674,0.0016499265034993487
0.0296,0.0291,0.028338235294117643,0.04611074924468994,0.011303894917170208
0.02984186046511628,0.02927179487179487,0.028505882352941176,0.033738136291503906,0.00689265211423238
0.0285,0.02797179487179487,0.027167647058823532,0.02542811632156372,0.007379892667134603
0.029858139534883726,0.029343589743589738,0.02860294117647058,0.05647838115692139,0.011480286518732707
